Date,Forecast_HPI,Lower_95_CI,Upper_95_CI,Year,Month
2022-11-01,0.7317418686246187,0.7304775716630936,0.7330061655861437,2022,11
2022-12-01,0.7312239541422276,0.7287989877199958,0.7336489205644594,2022,12
2023-01-01,0.7305427229493089,0.7270731253949945,0.7340123205036233,2023,1
2023-02-01,0.7300148505577252,0.7261128807851213,0.7339168203303291,2023,2
2023-03-01,0.7296393490522617,0.7255739203580208,0.7337047777465026,2023,3
2023-04-01,0.729403631544685,0.7252963186253799,0.7335109444639901,2023,4
2023-05-01,0.729287677723032,0.7251781114760852,0.7333972439699789,2023,5
2023-06-01,0.729267634665264,0.7251531930271978,0.7333820763033302,2023,6
2023-07-01,0.7293187274726712,0.7251820224998153,0.7334554324455271,2023,7
2023-08-01,0.7294174424920478,0.7252428887428729,0.7335919962412226,2023,8
2023-09-01,0.729543012786966,0.7253236745972945,0.7337623509766374,2023,9
2023-10-01,0.7296782817313311,0.7254160360825561,0.7339405273801061,2023,10
2023-11-01,0.7298100482107607,0.7255125765886765,0.7341075198328448,2023,11
2023-12-01,0.729929008885679,0.725606231685559,0.734251786085799,2023,12
2024-01-01,0.7300294126576575,0.7256907318575411,0.734368093457774,2024,1
2024-02-01,0.7301085332840097,0.7257612935927612,0.7344557729752582,2024,2
2024-03-01,0.7301660511609144,0.7258150877084383,0.7345170146133905,2024,3
2024-04-01,0.7302034173780023,0.7258513341842746,0.73455550057173,2024,4
2024-05-01,0.7302232544549849,0.725871052997518,0.7345754559124519,2024,5
2024-06-01,0.7302288303725265,0.7258765885197089,0.7345810722253441,2024,6
2024-07-01,0.7302236267462604,0.7258710478264413,0.7345762056660795,2024,7
2024-08-01,0.7302110089338112,0.725857772845331,0.7345642450222913,2024,8
2024-09-01,0.7301939957847031,0.725839923647519,0.7345480679218872,2024,9
2024-10-01,0.7301751196093376,0.7258202041785501,0.734530035040125,2024,10
2024-11-01,0.7301563625025335,0.7258007252077883,0.7345119997972787,2024,11
2024-12-01,0.7301391530159091,0.72578297752374,0.7344953285080783,2024,12
2025-01-01,0.7301244068670308,0.7257678805198281,0.7344809332142336,2025,1
2025-02-01,0.730112596421796,0.7257558731992575,0.7344693196443346,2025,2
2025-03-01,0.7301038356362196,0.725747021610509,0.7344606496619303,2025,3
2025-04-01,0.7300979695953225,0.7257411250887327,0.7344548141019123,2025,4
2025-05-01,0.7300946604113888,0.7257378111377044,0.7344515096850732,2025,5
2025-06-01,0.7300934637894939,0.7257366143494896,0.7344503132294983,2025,6
2025-07-01,0.730093892858261,0.7257370383299667,0.7344507473865552,2025,7
2025-08-01,0.7300954677900654,0.725738601562137,0.7344523340179938,2025,8
2025-09-01,0.7300977512471957,0.7257408690279146,0.7344546334664768,2025,9
2025-10-01,0.7301003707846633,0.7257434716979803,0.7344572698713463,2025,10
2025-11-01,0.7301030300460025,0.7257461160176807,0.7344599440743244,2025,11
2025-12-01,0.73010551095722,0.7257485854429965,0.7344624364714435,2025,12
2026-01-01,0.730107669219814,0.7257507359799016,0.7344646024597263,2026,1
2026-02-01,0.7301094252939951,0.7257524875563324,0.7344663630316579,2026,2
2026-03-01,0.7301107528129028,0.7257538128915506,0.734467692734255,2026,3
2026-04-01,0.7301116660358206,0.7257547253114177,0.7344686067602234,2026,4
2026-05-01,0.7301122075817122,0.7257552666937525,0.734469148469672,2026,5
2026-06-01,0.7301124373217097,0.7257554964334867,0.7344693782099327,2026,6
2026-07-01,0.7301124229776267,0.7257554820183076,0.7344693639369457,2026,7
2026-08-01,0.7301122326904484,0.7257552915276759,0.734469173853221,2026,8
2026-09-01,0.7301119295968005,0.7257549881318591,0.7344688710617419,2026,9
2026-10-01,0.730111568284532,0.7257546264850093,0.7344685100840548,2026,10
